,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
10,10588,https://www.airbnb.com/rooms/10588,20240610195007,2024-06-13,city scrape,Studio 10 Montmartre,Furnished rental  BAIL MOBILITE   <br />(lease of 1 month to 10 months)  Tenant rental insurance required <br /><br />The renter must meet one of the following situations:<br /><br />    Professional training<br />    Graduate studies<br />    Apprenticeship contract <br />    Trainee<br />    Voluntary engagement as part of a civic service<br />    Job transfer<br />    Tempory assignment in the context of their proffessional activity,"Montmartre, the neighborhood surrounding the studio, maintains its physical charm and the village atmosphere remains remarkably intact. True montmartrians however, use their feet to visit the area. This is the perfect way to enjoy the unique architecture of the area: there are tiny exquisite squares, wooden houses, hidden parks, winding streets, small terraces and long stairways plus the Butte’s famous vineyard. <br /><br />Many shops and stores are close to the apartment: bakery, butcher, supermarkets, restaurants, cafes, clubs, laundromats, and doctors.",https://a0.muscache.com/pictures/445734/5d7d275e_original.jpg,37107,https://www.airbnb.com/users/show/37107,Michael,2009-09-08,"Paris, France","Licensed California Architect living in Paris
I am a AIA member

Feel free to contact me If you have any questions
",within a few hours,100%,61%,t,https://a0.muscache.com/im/users/37107/profile_pic/1333994771/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/37107/profile_pic/1333994771/original.jpg?aki_policy=profile_x_medium,Montmartre,2.0,5.0,"['email', 'phone']",t,t,Neighborhood highlights,Buttes-Montmartre,,48.88725,2.34518,Entire rental unit,Entire home/apt,2,1.0,1 bath,,1.0,"[""Smoke alarm"", ""Wifi"", ""Dishes and silverware"", ""TV with standard cable"", ""Hair dryer"", ""Kitchen"", ""Oven"", ""Washer"", ""Heating"", ""Hot water"", ""Toaster"", ""Iron""]",$75.00,30,300,30,30,300,300,30.0,300.0,,t,1,26,56,235,2024-06-13,22,0,0,2011-03-13,2022-12-16,4.9,4.9,4.85,5.0,4.9,4.65,4.68,"Available with a mobility lease only (""bail mobilité"")",f,2,2,0,0,0.14
11,81106,https://www.airbnb.com/rooms/81106,20240610195007,2024-06-12,city scrape,BRIGHT & QUIET FLAT - GARE DU NORD,A charming flat located near Gare du Nord (subway and train station) in a lively area. Surface of 60 m2 (645 ft2). Quiet and sunny with a large living room.,"The neighborhood will show you an other side of Paris. It's a small Tamoul (Sri Lanka - India) district. The elevated subway and the railways train around give a New York atmosphere to the location. <br />Around the place there is everything you need. Bakery, supermarket and restaurants are down the street.",https://a0.muscache.com/pictures/miso/Hosting-81106/original/010b4c41-8082-40c2-ab8c-7251fcf68d8a.jpeg,439130,https://www.airbnb.com/users/show/439130,Edouard,2011-03-13,"Paris, France","Independent photographer. 
Cyclist. Often on the road. 

I only rent my apartment when I am travelling. But everything is organized so that you can have a good time and feel like at home. 

As a guest, I try to be communicative and discreet at the same time. 
",within a few hours,100%,88%,t,https://a0.muscache.com/im/pictures/user/User-439130/original/4944dbd4-c16f-4c4f-93d0-378672f80f65.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-439130/original/4944dbd4-c16f-4c4f-93d0-378672f80f65.jpeg?aki_policy=profile_x_medium,La Chapelle,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Entrepôt,,48.8844,2.36091,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Stove"", ""Extra pillows and blankets"", ""Dining table"", ""Refrigerator"", ""Paid parking off premises"", ""Ethernet connection"", ""Elevator"", ""Bathtub"", ""Cooking basics"", ""Wifi"", ""Indoor fireplace"", ""Dedicated workspace"", ""Free washer \u2013 In unit"", ""Clothing storage: closet"", ""First aid kit"", ""Cleaning products"", ""Lockbox"", ""Baking sheet"", ""Coffee maker"", ""Toaster"", ""Hangers"", ""Dishes and silverware"", ""Coffee"", ""Shower gel"", ""Kitchen"", ""Oven"", ""Long term stays allowed"", ""Heating"", ""Hot water"", ""Laundromat nearby"", ""Iron"", ""Essentials"", ""Drying rack for clothing"", ""Hair dryer"", ""Shampoo"", ""Free street parking"", ""Body soap"", ""Books and reading material"", ""Bed linens"", ""Wine glasses"", ""32 inch HDTV with standard cable"", ""Self check-in"", ""Freezer""]",$125.00,7,13,7,10,13,13,7.5,13.0,,t,10,29,59,80,2024-06-12,69,6,0,2011-05-21,2024-05-01,4.85,4.91,4.87,4.8,4.9,4.38,4.84,7511006045681,f,1,1,0,0,0.43
12,11265,https://www.airbnb.com/rooms/11265,20240610195007,2024-06-13,city scrape,Elegant appartment in Montmartre,"Located in lively and charming Montmartre, in a the typically parisian building with elevator, this perfectly secured, very elegant, clear and quiet, connected and fully equipped  60m2 appartment will suit the needs of demanding travellers in Paris.  Check in and assistance are carried out by a concierge service.","The apartment is located at the foot of charming Butte Montmartre. This historical area has now become truly « bourgeois bohême » with fashionable boutiques, galleries and young creators workshops. <br />But it has kept its old charm, with small steep streets and pretty cobbled squares, and its artistic soul, that which was born in the 19th century when Van Gogh, Toulouse Lautrec, Picasso, Modigliani, installed their easels inspired by the places. More recently it was the frame of many movies among which <br />""Le Fabuleux Destin d 'Amélie Poulain"". It is like a village in the heart of Paris.<br />Montmartre is also unique for entertainment. Within 500 meters from the appartment are some of Paris most sought after places :<br />- Sacré Cœur, 370 m<br />- Moulin Rouge, 550 m<br />- Moulin de la Galette, 300 m<br />- the Michou cabaret, 150 m<br />- Les Vignes de Montmartre, 500 m<br />- concert hall la Cigale, 200 m<br />Also in the vicinity, are :<br />- 2 theaters, the Théâtre Charles",https://a0.muscache.com/pictures/miso/Hosting-11265/original/da545dc1-8a12-4dad-813b-b2ba8c56dbc3.jpeg,41718,https://www.airbnb.com/users/show/41718,Sylvie,2009-09-28,"Paris, France","I usually live in Paris, but with my husband Daniel we love to travel, and particularly to sail, which we do each summer in the mediterranean waters. Therefore I rent my appartment in the summer from June to September.
I've lived in several districts of Paris but finally decided to anchor in Montmartre, because it is charming, friendly, human scaled and very lively, and also perfectly served by public transportation, which makes family, friends, entertainment ... within easy reach. It combines perfectly all the benefits of a large metropolis and the charms of a very familiar spot.
Since I stopped working I went back to school ... history, philosophy, political sciences, art, are on my weekly agenda together with gymnastics and pilates.
With Daniel who is a great cook, we love to have people in for friendly evenings - we shaped the appartment specially for our social life -  in between the joyful invasions of our grandchildren, a bunch of five aged two to eight.",,,100%,f,https://a0.muscache.com/im/users/41718/profile_pic/1259122401/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/41718/profile_pic/1259122401/original.jpg?aki_policy=profile_x_medium,Montmartre,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Buttes-Montmartre,,48.88494,2.33997,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Stove"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Coffee maker: Nespresso, pour-over coffee"", ""Refrigerator"", ""Microwave"", ""Washer"", ""Paid parking off premises"", ""Elevator"", ""Cooking basics"", ""Wifi"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Dryer"", ""Toaster"", ""Dishwasher"", ""Hangers"", ""Dishes and silverware"", ""Building staff"", ""Kitchen"", ""Oven"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher"", ""Hot water"", ""Iron"", ""Smoke alarm"", ""Essentials"", ""Hair dryer"", ""Portable fans"", ""Bed linens"", ""Wine glasses"", ""Self check-in"", ""Freezer""]",$145.00,7,120,7,7,120,120,7.0,120.0,,t,19,32,58,63,2024-06-13,30,8,0,2016-06-12,2023-10-02,4.9,4.9,4.93,4.76,4.83,4.97,4.9,7511801401834,f,1,1,0,0,0.31
13,81615,https://www.airbnb.com/rooms/81615,20240610195007,2024-06-12,city scrape,Eiffel Tower Studio Paris,"Eiffel tower studio. Modern and design appartment for your vacations in Paris.<br />Located near Rue de Lourmel and Rue du Commerce (Shopping street), a few minutes from the metro and from the Eiffel Tower.<br /><br />****** PLEASE SEND AN INFORMATION REQUEST FIRST AND TELL US SOMETHING ABOUT YOU *********<br /><br />Electricity consumption not included.",,https://a0.muscache.com/pictures/2630947/9340f6ac_original.jpg,429406,https://www.airbnb.com/users/show/429406,Gwen,2011-03-08,"Paris, France","We are web startup entrepreneurs and either work from home (in Brittany) or in Paris.

In Paris, we work in web as recruiters.
In Les Jardins de Kerblouz (the name of our village in South Brittany), we work at renovating the house, improving facilities, and cobuilding beautiful gardens, food and leisure gardens.

Our keywords are :  startup, travels, Paris, nature and buildings, web and interior design, Brittany.

Irina and Gwenael",within an hour,100%,63%,f,https://a0.muscache.com/im/users/429406/profile_pic/1360765754/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/429406/profile_pic/1360765754/original.jpg?aki_policy=profile_x_medium,Commerce - Dupleix,2.0,3.0,"['email', 'phone']",t,t,,Vaugirard,,48.84906,2.29249,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Cooking basics"", ""Hangers"", ""Essentials"", ""Carbon monoxide alarm"", ""Wifi"", ""Dishes and silverware"", ""Host greets you"", ""Hair dryer"", ""TV"", ""Kitchen"", ""Shampoo"", ""Washer"", ""Heating"", ""Hot water"", ""Iron""]",$73.00,90,1125,30,90,1125,1125,87.2,1125.0,,t,3,33,54,217,2024-06-12,41,1,1,2012-05-28,2024-05-20,4.75,4.74,4.7,4.8,4.74,4.83,4.6,"Available with a mobility lease only (""bail mobilité"")",f,1,1,0,0,0.28
14,11487,https://www.airbnb.com/rooms/11487,20240610195007,2024-06-12,city scrape,"Heart of  Paris, brand new aparment.","Very confortable and bright studio (18m2). The door is armored , each space is well defined , sleep ,living room ,kitchen , bathroom. Parquet and tiles ,double glazing. 6 floors without elevator.<br />This studio can only be rented to students or people coming to Paris for work . The legislation is now very restrictive since 2018 ,its almost impossible to get a permit to rent to tourists for short terms . Electricity is not included in bail mobilité .","This studio is in a building from 19th century (Hausmann ) with a paved yard . <br />Very well located in the Heart of Paris , near the place of Republic  , the place des Vosges  (one of the most ancient place of Paris ) and the place of La Bastille . It is  a very  lively  neighborhood  with wine bars ,art gallery and shops .",https://a0.muscache.com/pictures/miso/Hosting-11487/original/f118ec4a-83ae-4501-993d-b756ec282001.jpeg,42666,https://www.airbnb.com/users/show/42666,Brigitte,2009-10-01,France,..,within an hour,100%,67%,t,https://a0.muscache.com/im/users/42666/profile_pic/1262689368/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/42666/profile_pic/1262689368/original.jpg?aki_policy=profile_x_medium,République,2.0,2.0,"['email', 'phone']",t,t,Neighborhood highlights,Popincourt,,48.86441,2.37139,Entire rental unit,Entire home/apt,1,1.0,1 bath,0.0,1.0,"[""Host greets you"", ""Extra pillows and blankets"", ""Dining table"", ""Refrigerator"", ""Microwave"", ""Cooking basics"", ""Paid street parking off premises"", ""Wifi"", ""Dedicated workspace"", ""Private entrance"", ""Cleaning products"", ""Coffee maker"", ""Clothing storage: closet and wardrobe"", ""Hangers"", ""Dishes and silverware"", ""Kitchen"", ""Room-darkening shades"", ""Long term stays allowed"", ""Heating"", ""Hot water"", ""Iron"", ""Smoke alarm"", ""Hot water kettle"", ""15 inch TV"", ""Drying rack for clothing"", ""Hair dryer"", ""Portable fans"", ""Washer \u2013\u00a0In unit"", ""Bed linens"", ""Wine glasses""]",$80.00,30,305,30,30,305,305,30.0,305.0,,t,0,0,0,258,2024-06-12,11,4,1,2012-07-02,2024-05-31,4.91,4.73,4.91,4.91,4.91,4.91,4.64,"Available with a mobility lease only (""bail mobilité"")",f,2,2,0,0,0.08
15,11798,https://www.airbnb.com/rooms/11798,20240610195007,2024-06-11,city scrape,Loft very charming in Paris,"My apartment is located in a very pretty courtyard away from the street. It is bright and spacious. Thanks to the very close line 14, you can be in the center of Paris very quickly. A place to be!","I'm right next to the Chinatown, which is very exotic. At the same time, there are all the amenities next door (Restaurants, bakeries, organic grocery store, small Italian caterer...)",https://a0.muscache.com/pictures/22458692/09eb352b_original.jpg,44444,https://www.airbnb.com/users/show/44444,Laurence,2009-10-08,"Paris, France","Very dynamic personn, curious, who loves travelling and discovering the world and the differents cultures.",within a few hours,100%,100%,f,https://a0.muscache.com/im/users/44444/profile_pic/1336311264/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/44444/profile_pic/1336311264/original.jpg?aki_policy=profile_x_medium,Place d'Italie - Quartier Chinois,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Gobelins,,48.8246,2.3667,Entire loft,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Host greets you"", ""Extra pillows and blankets"", ""Dining table"", ""Refrigerator"", ""Shared gym nearby"", ""Microwave"", ""Paid parking off premises"", ""Blender"", ""Luggage dropoff allowed"", ""Bathtub"", ""Smoking allowed"", ""Bread maker"", ""Cooking basics"", ""Wifi"", ""Dedicated workspace"", ""Clothing storage: closet"", ""Cleaning products"", ""Baking sheet"", ""Coffee maker"", ""Toaster"", ""Paid parking lot on premises \u2013 50 spaces"", ""Hangers"", ""Dishes and silverware"", ""Coffee"", ""Shower gel"", ""Kitchen"", ""Oven"", ""Private backyard \u2013 Fully fenced"", ""Cleaning available during stay"", ""Heating"", ""Hot water"", ""Laundromat nearby"", ""Iron"", ""Smoke alarm"", ""Hot water kettle"", ""Essentials"", ""Conditioner"", ""Drying rack for clothing"", ""Hair dryer"", ""EV charger"", ""Shampoo"", ""Portable fans"", ""Body soap"", ""Ceiling fan"", ""Books and reading material"", ""Washer \u2013\u00a0In unit"", ""Bed linens"", ""Wine glasses"", ""Freezer""]",$119.00,3,30,4,4,30,30,4.0,30.0,,t,29,59,89,364,2024-06-11,121,7,0,2012-09-21,2023-10-21,4.84,4.92,4.8,4.94,4.95,4.83,4.77,7511300241931,f,1,1,0,0,0.85
16,12268,https://www.airbnb.com/rooms/12268,20240610195007,2024-06-13,previous scrape,Faubourg Saint Antoine-chambrecalme,,,https://a0.muscache.com/pictures/4142889/d43dff74_original.jpg,47196,https://www.airbnb.com/users/show/47196,Charles,2009-10-20,"Paris, France","Charles, living in Paris. Please have a look at my comments if you want to know more about me.",,,,f,https://a0.muscache.com/im/users/47196/profile_pic/1373006654/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/47196/profile_pic/1373006654/original.jpg?aki_policy=profile_x_medium,XI Arrondissement,1.0,3.0,"['email', 'phone']",t,f,,Popincourt,,48.85186,2.3857,Private room in rental unit,Private room,2,,1 bath,,,"[""Wifi"", ""Kitchen"", ""TV"", ""Breakfast"", ""Washer"", ""Heating"", ""Dryer"", ""Elevator""]",,6,40,6,6,40,40,6.0,40.0,,,0,0,0,0,2024-06-13,1,0,0,2010-05-28,2010-05-28,0.0,,,,,,,,f,1,0,1,0,0.01
17,81870,https://www.airbnb.com/rooms/81870,20240610195007,2024-06-12,city scrape,Saint Germain Musee d'orsay,,,https://a0.muscache.com/pictures/558458/3c1263b3_original.jpg,152242,https://www.airbnb.com/users/show/152242,Delphine,2010-06-25,"Paris, France","Bonjour,
My name is delphine with my family we are owner of  PARIS SELECT
 APARTMENT IN PARIS ,we manage  few beautiful apartments in Paris very well situated, clean and very central.
My schedul are always checked you can book if I don't answer to your questions,it may be very late or I could be busy so don't hesitate to go ahead and book apartment .
We do have all agreements to rent for a short ,middle and long stay from the city- all,which is forbidden in Paris,you could rent and have a very nice stay and trusty !
I was born in Paris and live in the center for many years
I could recommend many good addresses to drink wine , eat delicious cheese and pastries , baguettes. see amazing exhibitions,and visit  the city of champagne close to Paris 
I like very much Paris and will advise you in case of any needs
I  will make the most for you to enjoy your staying in my apartments and in Paris and will stay at your disposal during your staying in case of any needs!!!!!
Please don't hesitate to leave your phone number in your profile airbnb I will call you very quickly.
See you soon in Paris 
au revoir

delphine


Passionnée de l'architecture parisienne, surtout du centre de Paris, je vous fais la meilleure collection d'espace de vacances dans l'une des plus belles villes de l'Europe,Vous êtes en famille, couple ou groupe d'amis ou de voyageurs, vous trouverez ce que vous cherchez, votre endroit préféré.  Je vous assure que vous aurez une expérience inoubliable",within a few hours,99%,47%,f,https://a0.muscache.com/im/users/152242/profile_pic/1325593143/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/152242/profile_pic/1325593143/original.jpg?aki_policy=profile_x_medium,Montmartre,100.0,250.0,"['email', 'phone']",t,t,,Luxembourg,,48.85558,2.33119,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Stove"", ""Host greets you"", ""TV with standard cable"", ""Refrigerator"", ""Microwave"", ""Washer"", ""Luggage dropoff allowed"", ""Elevator"", ""Cooking basics"", ""Wifi"", ""Coffee maker"", ""Dishwasher"", ""Dishes and silverware"", ""Kitchen"", ""Oven"", ""Long term stays allowed"", ""Heating"", ""Hot water"", ""Iron"", ""Essentials"", ""Shampoo""]",$145.00,365,365,365,365,365,365,365.0,365.0,,t,29,59,89,364,2024-06-12,1,0,0,2012-01-07,2012-01-07,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,f,91,91,0,0,0.01
18,84820,https://www.airbnb.com/rooms/84820,20240610195007,2024-06-13,city scrape,Bird's nest in Montmartre: Sun/view all over Paris,"Apartment, two rooms, very calm and sunny.<br />Heart of Abbesses, lively and family district, a few minutes from Place du Tertre.<br />Real kitchen where you can have meals. Bedroom, with view from the bed on the lights of the city. Double living room with sitting area (sofa) and a dining area. Bathroom. Separate WC.<br />Warning: travelers are required to give their arrival time when they book. There is no key box. It is therefore advisable to schedule the appointment when booking or 48h after maximum.","So many bars, restaurants, shops, 5mn from Sacré Coeur walking. <br />Easy from airport or many parisien railway stations.",https://a0.muscache.com/pictures/581023/86105d94_original.jpg,464019,https://www.airbnb.com/users/show/464019,Laure,2011-03-26,"Paris, France","International girl.
Love litterature, anthropology, travel, martingale people, hiking, , free camping in nature, changemakers, my friends, my lover, eat and drink good wine.",within a few hours,83%,63%,t,https://a0.muscache.com/im/users/464019/profile_pic/1301748899/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/464019/profile_pic/1301748899/original.jpg?aki_policy=profile_x_medium,Montmartre,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Buttes-Montmartre,,48.88238,2.33831,Entire rental unit,Entire home/apt,3,1.5,1.5 baths,1.0,1.0,"[""Outdoor dining area"", ""Host greets you"", ""Refrigerator"", ""Microwave"", ""Paid parking off premises"", ""Cooking basics"", ""Wifi"", ""Dedicated workspace"", ""Free washer \u2013 In unit"", ""Cleaning products"", ""Coffee maker"", ""Hangers"", ""Dishes and silverware"", ""Shower gel"", ""Kitchen"", ""Oven"", ""Long term stays allowed"", ""Heating"", ""Hot water"", ""City skyline view"", ""Shared backyard \u2013 Fully fenced"", ""Gas stove"", ""Iron"", ""Smoke alarm"", ""Essentials"", ""Hair dryer"", ""Bed linens""]",$130.00,3,60,1,7,60,60,3.2,60.0,,t,3,8,18,118,2024-06-13,129,3,0,2011-05-03,2023-08-12,4.88,4.89,4.87,4.86,4.9,4.9,4.79,7511801291867,f,1,1,0,0,0.81
19,12452,https://www.airbnb.com/rooms/12452,20240610195007,2024-06-12,city scrape,Voltaire Charm,"You will spend a pleasant stay in this bright and spacious apartment located near Place de la Bastille in Paris. Entirely equipped, you will have 1 double bed and 1 bunk bed at your disposal. Washing machine, ironing set and hair dryer are also included. Linens and towels will be provided. For more information, kindly read the detailed description below. :)","﻿<br />The apartment is located in the 11th district of Paris.<br /> <br />Known for its gourmet restaurants and hip bars, Paris’ 11th arrondissement is much more central than its number would lead to believe. It has a lot to offer and is the perfect place to live like a local. The district is a hip, diverse district that draws partygoers to lively bars around Rue Oberkampf and its surrounding streets. It's also home to the Opéra Bastille, the city's main opera house. Foodies and fashionistas flock to the boutiques and vogue restaurants around Rue de Charonne, part of the evolving shopping and dining scene in the cosmopolitan area between the République and Nation squares.<br /><br />You will be close to the bakery ""Boulangerie Pâtisserie by KR"" and a Auchan.﻿<br /><br />Places to visit:  <br />- Place De la République.<br />- Edith Piaf Museum.<br /><br />- Place de la Bastille.<br />- Father Lachaise Cemetery.<br /><br />Restaurants:<br />- Restaurant, Vero l 'Autre Cantine, 30 Rue P",https://a0.muscache.com/pictures/miso/Hosting-12452/original/d52a9bb7-e5da-4012-9278-de390fd9f039.jpeg,48733,https://www.airbnb.com/users/show/48733,Irene,2009-10-28,"Paris, France","Chers futurs guests, 
﻿
j'adore voyager et je suis donc souvent absente. À mes yeux la meilleure façon de découvrir une ville est en y vivant comme quelqu'un de local et cela passe, bien entendu, par le logement. C'est dans cette optique que lors de mes voyages je laisse mon logement à disposition des voyageurs du monde entier, alors : pourquoi pas vous ?  :) 
﻿
Pas d'inquiétude, même si je ne suis pas présente lors de vos réservations, Luckey, conciergerie officielle Airbnb, à laquelle j'ai confié la gestion de mon logement, saura rendre votre séjour aussi agréable que possible !
﻿
A très vite, Irene ---

Dear future guests, 
﻿
I love travelling, so I’m often absent. For me, the best way to get to know a city is by living there like a local person, and this can only be done, of course, by getting accommodation. It is with this in mind that whenever I am travelling, I make my lodging facility available to travelers from around the world, so: why not you? 
﻿
Don’t worry, even if I’m not present when you are doing the booking arrangement, Luckey Homes, Airbnb’s official concierge, to whom I have entrusted the management of my home, will make your stay as enjoyable as possible! 
﻿
See you soon, Irene",within a few hours,63%,78%,f,https://a0.muscache.com/im/pictures/user/e5e5f2fe-f198-4931-bc09-b12012a1ba31.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e5e5f2fe-f198-4931-bc09-b12012a1ba31.jpg?aki_policy=profile_x_medium,XI Arrondissement,1.0,3.0,['phone'],t,t,Neighborhood highlights,Popincourt,,48.86159,2.37952,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Coffee maker: drip coffee maker"", ""TV with standard cable"", ""Refrigerator"", ""Microwave"", ""Washer"", ""Elevator"", ""Cooking basics"", ""Wifi"", ""Dedicated workspace"", ""Dishwasher"", ""Hangers"", ""Dishes and silverware"", ""Kitchen"", ""Oven"", ""Long term stays allowed"", ""Heating"", ""Iron"", ""Smoke alarm"", ""Hot water kettle"", ""Essentials"", ""Hair dryer"", ""Shampoo"", ""Bed linens"", ""Single level home""]",$185.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,9,39,60,60,2024-06-12,59,6,0,2018-05-01,2023-07-30,4.81,4.83,4.85,4.83,4.88,4.8,4.63,7511102600669,f,1,1,0,0,0.79
